,countries,year,consumption,production,income
0,Algeria,1965,0.10811035699999999,2.221001053,3327.99122
1,Argentina,1965,0.984543492,0.617347099,8022.442672
2,Australia,1965,1.4878831540000002,0.030476512999999997,13739.92688
3,Azerbaijan,1965,0.6151394225000001,0.0,3384.2660200000005
4,Brazil,1965,0.17630263399999999,0.05964401,3261.050722
5,Canada,1965,2.7357956260000003,2.229604966,15198.11009
6,China,1965,0.015430311,0.015923067,617.7634995
7,Colombia,1965,0.1819384,0.574191639,2591.012402
8,Denmark,1965,2.1464164930000003,0.0,14476.64509
9,Ecuador,1965,0.128441943,0.08331844299999999,4498.486643
10,Egypt,1965,0.218310738,0.203895178,1912.855486
11,India,1965,0.025467345,0.006087828000000001,707.3629879
12,Indonesia,1965,0.058763265999999995,0.235583755,802.6382632
13,Iran,1965,0.39998225299999995,3.816771817,4717.811036
14,Italy,1965,1.0162571409999999,0.044272973,9011.540421
15,Kazakhstan,1965,0.47406204399999996,0.0,5539.799204999999
16,Kuwait,1965,10.6380562,245.7871395,84952.1083
17,Malaysia,1965,0.20868386100000003,0.0,2245.030909
18,Mexico,1965,0.31691531300000003,0.40210524200000003,5384.967492
19,Norway,1965,1.393499491,0.0,13982.328130000002
20,Peru,1965,0.312114762,0.295995817,5430.5952130000005
21,Qatar,1965,0.341928586,158.8182699,4964.4709515
22,Romania,1965,0.375525451,0.673654932,5628.672846
23,Russia,1965,2.2325574864999997,0.0,8174.496112999999
24,Saudi Arabia,1965,4.089589522,23.18954864,14304.442159999999
25,Thailand,1965,0.072343553,0.0,1140.354963
26,Turkmenistan,1965,0.45969125425,0.0,5222.540945000001
27,United Arab Emirates,1965,1.0636644927499999,93.29125746,9399.8428665
28,United Kingdom,1965,1.365651112,0.001545541,13724.35271
29,United States,1965,2.752199035,2.144305311,21209.93252
30,Uzbekistan,1965,1.891126562,0.0,1832.0256399999998
31,Venezuela,1965,1.030054089,20.30485431,9424.824301
32,Algeria,1966,0.138431754,2.769616282,3070.753392
33,Argentina,1966,1.002474935,0.647332586,7955.974181999999
34,Australia,1966,1.559705205,0.038314516,13860.958059999999
35,Azerbaijan,1966,0.66908131725,0.0,3508.468943
36,Brazil,1966,0.186982989,0.07087547799999999,3385.4041020000004
37,Canada,1966,2.824515325,2.401226715,15884.83624
38,China,1966,0.019343017,0.019997222,657.1427738
39,Colombia,1966,0.205192415,0.5466842789999999,2657.9784050000003
40,Denmark,1966,2.410881334,0.0,14769.04015
41,Ecuador,1966,0.130319084,0.070757709,4480.751904
42,Egypt,1966,0.22858836100000002,0.19200931300000001,1879.126168
43,India,1966,0.027855592000000002,0.009163595,698.3967547
44,Indonesia,1966,0.05516669999999999,0.223975122,794.0593863
45,Iran,1966,0.430093877,4.152272699,5047.516721
