"Crude oil production, per capita (toe)",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,2.221001053,2.769616282,3.108021401,3.314211575,3.357393756,3.507009399,2.618896703,3.431214988,3.380729853,3.050411111,2.856376764,3.060606752,3.166939806,3.275903508,3.161138181,2.751020815,2.408650403,2.331201263,2.20905046,2.308208763,2.262481934,2.276395937,2.249677009,2.228769369,2.215655036,2.271891637,2.224402404,2.132316669,2.085763795,2.031560134,2.000453067,2.061426995,2.062926896,2.081945039,2.123990125,2.187311797,2.122217605,2.254765687,2.475601049,2.579049148,2.628207551,2.581520087,2.550594493,2.486932343,2.227368745,2.128698919,2.065343603
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,0.120600943,0.114226959,0.095598516,0.131275953,0.422679416,0.85466004,0.945973832,1.141967592,1.293063769,1.319114919,1.173799635,1.110907128,1.010302164,0.90032439,0.972942601,0.972452418,0.905689827,0.78249229,1.035130614,1.146511777,1.263242146,1.493797298,1.830636144,2.277625392,2.252360019,2.262204389,2.301024591,2.4678017,2.18172225,2.335356673,2.575194515,2.839860352,2.853292978,2.740087827,2.716189637,2.646058669,2.540268291,2.995203511,2.777748838,3.413087553,4.187020157,4.093759417,4.709138768,5.182320891,4.799884865,4.819915943,4.345018126
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.617347099,0.647332586,0.695677355,0.751406136,0.766684204,0.833933148,0.884918182,0.896178191,0.856434122,0.824223579,0.776899448,0.770556629,0.82017251,0.850084651,0.876092366,0.898190557,0.901084479,0.881737093,0.871615522,0.84086872,0.795889493,0.74222411,0.721865408,0.747570407,0.752783275,0.779247819,0.78208525,0.865844614,0.914242705,1.002633558,1.074645219,1.156682894,1.214774533,1.218444864,1.144445245,1.094880798,1.113529324,1.086149931,1.058991453,0.985604989,0.936948603,0.916548152,0.887599566,0.859232913,0.843084439,0.805436105,0.74292762
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,0.030476513,0.038314516,0.087336331,0.158852389,0.178659094,0.683874881,1.174590654,1.229896105,1.513818699,1.47393615,1.55668212,1.573851308,1.646395296,1.612764618,1.601193809,1.484627749,1.427431717,1.388137401,1.33157578,1.713973282,1.950787921,1.716466816,1.793119612,1.673906308,1.55474782,1.77573704,1.659018371,1.612648628,1.489077302,1.583852269,1.472740814,1.540356263,1.622617576,1.526981775,1.469167861,1.956174213,1.781377536,1.750023505,1.497353177,1.289308466,1.253919871,1.147272259,1.169822903,1.132143203,1.030713849,1.105928261,0.93102045
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,1.983463343,1.925955355,2.021167773,1.965747353,1.853664982,1.73329643,1.606767318,1.503600963,1.355619985,1.246822739,1.179901911,1.159979657,1.14068124,1.435494646,1.722908627,1.734617247,1.828610856,1.863349086,1.853467217,1.844529762,2.608273825,3.731228278,4.850248475,5.00341026,5.584130508,5.533239085,4.901180665
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,0.05964401,0.070875478,0.086888057,0.093056992,0.098983061,0.091592088,0.093481964,0.089411742,0.088624367,0.090074277,0.086153304,0.081976748,0.077046228,0.074800636,0.07574315,0.081186692,0.092548504,0.110225729,0.136725123,0.186818642,0.215947811,0.222682759,0.217054856,0.208286211,0.218593651,0.227824613,0.221503364,0.221050359,0.221538828,0.227358988,0.232112633,0.258288666,0.272688272,0.310620649,0.345938465,0.382803359,0.396364191,0.438422187,0.447869529,0.439329979,0.480279484,0.501188233,0.503165015,0.518122269,0.548731387,0.573012423,0.582511963
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,39.83457357,45.71799137,47.3389858,53.21488048,51.51527975,53.95973442,48.86361817,66.05827775,79.65382408,64.91798054,58.53808306,65.0794052,65.36344658,66.49852737,69.6271161,61.88743269,43.31873399,43.10141684,41.8900856,39.20659352,36.99110041,35.48080921,32.3527205,30.44031854,29.46013536,29.03515216,30.57733358,33.17061267,30.84954572,30.72032195,29.2258686,26.97047079,25.90506063,24.32796648,27.69242967,28.81869066,29.59872301,29.99068017,29.98100211,28.86567002,27.69182438,29.08106522,25.06209751,22.16528438,20.90397063,21.04264119,19.88877575
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,2.229604966,2.401226715,2.570553208,2.728841542,2.915204488,3.226428924,3.409030474,3.880806645,4.43581969,4.125889014,3.524969389,3.215935106,3.189436166,3.136094725,3.557620083,3.396497964,3.042473246,2.980652384,3.109219475,3.281887657,3.315659694,3.274478625,3.400337053,3.529434838,3.388930516,3.348555619,3.322951023,3.422786717,3.563241902,3.677894052,3.819055744,3.902801059,4.04365706,4.153816173,3.982275347,4.139612655,4.071319538,4.315481756,4.512586476,4.61973406,4.489155,4.699988675,4.808814334,4.677759343,4.63436683,4.832021965,5.025657867
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13517856,0.932424941,0.93071785,0.797609686,0.726926859,0.628007973,0.565694433,0.570300087,0.518088161
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
